Pclass,Age,Gender,Fare,Boarded,prediction
3.0,26.0,0.0,7.8958,0.0,0.0
1.0,25.0,1.0,151.55,0.0,1.0
3.0,40.0,0.0,7.225,1.0,0.0
3.0,1.0,1.0,11.1333,0.0,1.0
3.0,11.0,0.0,46.9,0.0,0.0
2.0,36.0,1.0,26.0,0.0,1.0
2.0,24.0,1.0,27.0,0.0,1.0
3.0,9.0,0.0,46.9,0.0,0.0
1.0,11.0,0.0,120.0,0.0,0.0
1.0,36.0,0.0,26.3875,0.0,1.0
3.0,22.0,1.0,9.8375,0.0,0.0
3.0,33.0,1.0,15.85,0.0,0.0
3.0,28.5,0.0,16.1,0.0,0.0
3.0,32.0,0.0,7.925,0.0,0.0
1.0,65.0,0.0,61.9792,1.0,0.0
3.0,38.0,1.0,31.3875,0.0,0.0
2.0,50.0,1.0,10.5,0.0,1.0
2.0,24.0,0.0,73.5,0.0,0.0
2.0,42.0,0.0,13.0,0.0,0.0
2.0,24.0,1.0,18.75,0.0,1.0
1.0,27.0,0.0,76.7292,1.0,0.0
1.0,37.0,0.0,52.5542,0.0,0.0
3.0,21.0,0.0,7.7958,0.0,0.0
2.0,28.0,1.0,24.0,1.0,1.0
2.0,23.0,0.0,15.0458,1.0,0.0
2.0,32.0,1.0,13.0,0.0,1.0
2.0,32.5,0.0,30.0708,1.0,0.0
1.0,48.0,0.0,76.7292,1.0,0.0
2.0,28.0,1.0,13.0,0.0,1.0
2.0,27.0,0.0,26.0,0.0,0.0
3.0,40.0,0.0,27.9,0.0,0.0
1.0,42.0,1.0,227.525,1.0,1.0
3.0,9.0,1.0,31.275,0.0,0.0
3.0,17.0,0.0,7.2292,1.0,0.0
3.0,42.0,0.0,8.4042,0.0,0.0
3.0,20.0,0.0,7.925,0.0,0.0
3.0,29.0,0.0,7.75,2.0,0.0
1.0,23.0,1.0,263.0,0.0,1.0
3.0,22.0,0.0,7.125,0.0,0.0
3.0,21.0,0.0,7.25,0.0,0.0
1.0,33.0,1.0,86.5,0.0,1.0
1.0,24.0,0.0,79.2,1.0,0.0
3.0,24.0,1.0,8.85,0.0,0.0
2.0,46.0,0.0,26.0,0.0,0.0
1.0,48.0,1.0,39.6,1.0,1.0
1.0,37.0,0.0,53.1,0.0,0.0
1.0,29.0,0.0,66.6,0.0,0.0
3.0,39.0,1.0,29.125,2.0,0.0
1.0,4.0,0.0,81.8583,0.0,0.0
3.0,40.0,1.0,9.475,0.0,0.0
3.0,24.0,0.0,24.15,0.0,0.0
3.0,19.0,1.0,7.8792,2.0,0.0
2.0,52.0,0.0,13.0,0.0,0.0
2.0,23.0,0.0,13.0,0.0,0.0
3.0,35.0,0.0,8.05,0.0,0.0
3.0,27.0,1.0,7.925,0.0,0.0
3.0,22.0,0.0,7.2292,1.0,0.0
3.0,24.0,0.0,7.7958,0.0,0.0
3.0,2.0,1.0,12.2875,0.0,1.0
1.0,29.0,1.0,211.3375,0.0,1.0
3.0,28.0,0.0,7.7958,0.0,0.0
1.0,25.0,0.0,55.4417,1.0,0.0
2.0,23.0,0.0,10.5,0.0,0.0
1.0,47.0,1.0,52.5542,0.0,1.0
3.0,48.0,1.0,34.375,0.0,0.0
3.0,24.0,0.0,7.4958,0.0,0.0
3.0,21.0,1.0,34.375,0.0,0.0
1.0,25.0,0.0,91.0792,1.0,0.0
1.0,26.0,0.0,30.0,1.0,0.0
2.0,50.0,1.0,26.0,0.0,1.0
3.0,61.0,0.0,6.2375,0.0,0.0
2.0,52.0,0.0,13.5,0.0,0.0
1.0,44.0,0.0,90.0,2.0,0.0
2.0,27.0,1.0,21.0,0.0,1.0
3.0,31.0,1.0,20.525,0.0,0.0
1.0,38.0,1.0,71.2833,1.0,1.0
